Unfiltered Players:
Name: Jankunas, Birth Year: 0, Points Per Game: 15.20
Name: Valanciunas, Birth Year: 0, Points Per Game: 14.70
Name: Sabonis, Birth Year: 0, Points Per Game: 18.50
Name: Bendzius, Birth Year: 0, Points Per Game: 12.90
Name: Motiejunas, Birth Year: 0, Points Per Game: 13.80
Name: Maciulis, Birth Year: 0, Points Per Game: 10.50
Name: Lekavicius, Birth Year: 0, Points Per Game: 11.20
Name: Kleiza, Birth Year: 0, Points Per Game: 16.10
Name: Gustas, Birth Year: 0, Points Per Game: 8.70
Name: Lekavicius, Birth Year: 0, Points Per Game: 11.20
Name: Kleiza, Birth Year: 0, Points Per Game: 16.10
Name: Gustas, Birth Year: 0, Points Per Game: 8.70
Name: Lekavicius, Birth Year: 0, Points Per Game: 11.20
Name: Kleiza, Birth Year: 0, Points Per Game: 16.10
Name: Gustas, Birth Year: 0, Points Per Game: 8.70
Name: Lekavicius, Birth Year: 0, Points Per Game: 11.20
Name: Kleiza, Birth Year: 0, Points Per Game: 16.10
Name: Gustas, Birth Year: 0, Points Per Game: 8.70
Name: Siskauskas, Birth Year: 0, Points Per Game: 14.90
Name: Kalnietis, Birth Year: 0, Points Per Game: 9.80
Name: Sakota, Birth Year: 0, Points Per Game: 11.90
Name: Jankevicius, Birth Year: 0, Points Per Game: 12.30
Name: Dulkys, Birth Year: 0, Points Per Game: 10.10
Name: Skeinis, Birth Year: 0, Points Per Game: 9.60
Name: Varnas, Birth Year: 0, Points Per Game: 21.40
Name: Macijauskas, Birth Year: 0, Points Per Game: 15.50
Name: Petravicius, Birth Year: 0, Points Per Game: 16.90
Name: Dulkys, Birth Year: 0, Points Per Game: 10.10
Name: Skeinis, Birth Year: 0, Points Per Game: 9.60
Name: Varnas, Birth Year: 0, Points Per Game: 21.40
Name: Macijauskas, Birth Year: 0, Points Per Game: 15.50
Name: Petravicius, Birth Year: 0, Points Per Game: 16.90
Name: Dulkys, Birth Year: 0, Points Per Game: 10.10
